Question,Option 0,Option 1,Option 2,Option 3,Answer Index,Level
Which unit is used to measure electric current?,Volt,Ampere,Ohm,Watt,1,Easy
What is the SI unit of force?,Newton,Joule,Watt,Pascal,0,Easy
What type of energy does a moving car have?,Kinetic energy,Potential energy,Thermal energy,Electrical energy,0,Medium
"Which law states that for every action, there is an equal and opposite reaction?",Newton's First Law,Newton's Second Law,Newton's Third Law,Newton's Law of Gravitation,2,Medium
Which phenomenon explains why the sky is blue?,Reflection,Refraction,Diffraction,Scattering,3,Hard
What is the speed of light in a vacuum?,"300,000 m/s","150,000 m/s","600,000 m/s","200,000 m/s",0,Medium
Which law describes the relationship between the pressure and volume of a gas at constant temperature?,Boyle's Law,Charles' Law,Avogadro's Law,Gay-Lussac's Law,0,Medium
What is the smallest particle of an element that retains its properties?,Atom,Molecule,Neutron,Proton,0,Easy
Which planet is known as the 'Red Planet'?,Venus,Mars,Jupiter,Saturn,1,Easy
What is the process by which a solid changes directly into a gas?,Sublimation,Evaporation,Condensation,Melting,0,Hard
Which force keeps planets in orbit around the sun?,Gravity,Friction,Magnetism,Tension,0,Medium
What is the unit of measurement for electrical resistance?,Ohm,Ampere,Volt,Watt,0,Easy
What is the process by which a liquid turns into a solid?,Melting,Freezing,Vaporization,Condensation,1,Easy
Which type of waves are used in sonar systems?,Radio waves,Microwaves,Ultrasound waves,Infrared waves,2,Medium
What does the term 'AC' in AC current stand for?,Alternating Current,Automatic Control,Active Circuit,Advanced Capacitance,0,Easy
What is the principle behind a magnifying glass?,Refraction,Reflection,Diffraction,Dispersion,0,Medium
Which subatomic particle has a positive charge?,Electron,Proton,Neutron,Photon,1,Easy
What is the SI unit of power?,Watt,Joule,Newton,Volt,0,Easy
What is the law of conservation of energy?,Energy cannot be created or destroyed; it can only be transferred or converted from one form to another.,Energy can be created out of nothing.,Energy can be destroyed and created at will.,"Energy can only be created, not destroyed.",0,Hard
Which scientist is known for his theory of relativity?,Isaac Newton,Albert Einstein,Niels Bohr,Galileo Galilei,1,Medium
What is the phenomenon of a sound wave bouncing off a surface?,Reflection,Refraction,Diffraction,Interference,0,Easy
Which material has the highest resistance?,Silver,Copper,Gold,Nichrome,3,Medium
What is the force that opposes the motion of objects through a fluid?,Friction,Gravity,Tension,Magnetism,0,Medium
Which type of energy is stored in an object due to its position?,Kinetic energy,Potential energy,Thermal energy,Mechanical energy,1,Easy
What is the minimum number of forces required to keep an object in equilibrium?,One,Two,Three,Zero,0,Medium
What is the unit of measurement for frequency?,Hertz,Watt,Joule,Ohm,0,Easy
Which law describes the relationship between the volume and temperature of a gas at constant pressure?,Boyle's Law,Charles' Law,Avogadro's Law,Gay-Lussac's Law,1,Medium
What is the process of heat transfer through direct contact called?,Conduction,Convection,Radiation,Reflection,0,Easy
Which type of electromagnetic waves has the shortest wavelength?,Radio waves,Microwaves,X-rays,Gamma rays,3,Hard
What is the equation for calculating kinetic energy?,KE = 0.5 * m * v^2,KE = m * g * h,KE = F * d,KE = P * V,0,Medium
Which type of mirror can form both real and virtual images?,Concave mirror,Convex mirror,Plane mirror,Diverging mirror,0,Medium
What is the SI unit of electric charge?,Coulomb,Ampere,Ohm,Volt,0,Easy
What is the phenomenon where a wave encounters an obstacle and bends around it?,Reflection,Refraction,Diffraction,Polarization,2,Medium
What is the ratio of an object's velocity to its acceleration?,Force,Momentum,Mass,Inertia,3,Hard
What type of lens is thicker at the center than at the edges?,Concave lens,Convex lens,Diverging lens,Plano-convex lens,1,Medium
What is the process by which heat energy is transferred in a fluid by the movement of the fluid itself?,Conduction,Convection,Radiation,Transmission,1,Easy
Which subatomic particle is responsible for carrying an electric charge?,Neutron,Proton,Electron,Photon,2,Easy
What is the SI unit of work and energy?,Watt,Joule,Newton,Ampere,1,Easy
Which law states that the entropy of an isolated system will always increase over time?,First Law of Thermodynamics,Second Law of Thermodynamics,Law of Conservation of Energy,Newton's Law of Universal Gravitation,1,Hard
What does the term 'LASER' stand for?,Light Absorption Spectrum Emission Radiator,Light Amplification by Stimulated Emission of Radiation,Luminous Atomic Spectrum Emitting Rays,Low Amplification of Sonic Energy Rays,1,Hard
What is the phenomenon of a change in the direction of a wave at the boundary of two media?,Diffraction,Polarization,Refraction,Dispersion,2,Medium
Which type of energy is associated with the motion of particles in a substance?,Potential energy,Kinetic energy,Thermal energy,Chemical energy,2,Easy
Which law describes the relationship between the pressure and volume of a gas at constant temperature?,Boyle's Law,Charles' Law,Avogadro's Law,Dalton's Law,0,Medium
What is the tendency of a body to resist any change in its state of motion?,Inertia,Friction,Momentum,Acceleration,0,Easy
What is the process by which a solid changes directly into a gas without becoming a liquid first?,Evaporation,Sublimation,Condensation,Boiling,1,Hard
What is the fundamental particle carrying a positive electric charge?,Proton,Electron,Neutron,Photon,0,Easy
Which law states that the total energy of an isolated system remains constant over time?,First Law of Thermodynamics,Second Law of Thermodynamics,Law of Conservation of Energy,Newton's Law of Universal Gravitation,2,Medium
What is the process of heat transfer through electromagnetic waves called?,Conduction,Convection,Radiation,Reflection,2,Easy
What is the unit of measurement for frequency of a wave?,Hertz,Watt,Joule,Ohm,0,Easy
What does the principle of superposition explain in wave phenomena?,Formation of interference patterns,Wave polarization,Total internal reflection,Wave refraction,0,Medium
What is the phenomenon where a wave increases in amplitude when its frequency matches the natural frequency of a system?,Diffraction,Resonance,Interference,Dispersion,1,Medium
What is the unit of measurement for electric potential difference?,Watt,Ampere,Volt,Ohm,2,Easy
Which type of energy is stored in the nucleus of an atom?,Nuclear energy,Kinetic energy,Potential energy,Thermal energy,0,Hard
Which law states that the pressure of a gas is inversely proportional to its volume at constant temperature?,Boyle's Law,Charles' Law,Gay-Lussac's Law,Avogadro's Law,0,Medium
What is the force that keeps objects in circular motion?,Gravity,Tension,Centripetal force,Friction,2,Medium
What is the process by which heat is transferred through the motion of fluids?,Conduction,Convection,Radiation,Absorption,1,Easy
What is the unit of measurement for electric current?,Watt,Joule,Ampere,Ohm,2,Easy
What is the SI unit of frequency?,Watt,Hertz,Joule,Volt,1,Easy
Which law states that the entropy of an ideal crystal is zero at absolute zero temperature?,Zeroth Law of Thermodynamics,First Law of Thermodynamics,Second Law of Thermodynamics,Third Law of Thermodynamics,3,Hard
What is the SI unit of capacitance?,Farad,Henry,Tesla,Ohm,0,Medium
What is the property of an object to remain at rest or in uniform motion unless acted upon by an external force?,Inertia,Friction,Acceleration,Velocity,0,Easy
What is the unit of measurement for wavelength?,Meter,Hertz,Joule,Newton,0,Easy
What is the phenomenon where a wave bends as it passes from one medium to another?,Diffraction,Polarization,Refraction,Interference,2,Medium
